"","seqnames","start","end","width","strand"
"93","NW_016094893.1",85476,85476,1,"-"
"94","NW_016094336.1",437217,437217,1,"-"
"95","NW_016095006.1",5811,5811,1,"+"
"96","NW_016094240.1",11560503,11560503,1,"+"
"97","NW_016094282.1",193401,193401,1,"-"
"98","NW_016094330.1",945620,945620,1,"-"
"99","NW_016094379.1",148668,148668,1,"+"
"100","NW_016094278.1",954239,954239,1,"+"
"101","NW_016094322.1",1081594,1081594,1,"-"
"102","NW_016094350.1",583058,583058,1,"+"
"103","NW_016094255.1",4315030,4315030,1,"+"
"104","NW_016094702.1",117250,117250,1,"+"
"105","NW_016096715.1",4721,4721,1,"-"
"106","NW_016094331.1",183102,183102,1,"-"
"107","NW_016094300.1",512211,512211,1,"-"
"108","NW_016094242.1",9420382,9420382,1,"+"
"109","NW_016094592.1",291493,291493,1,"+"
"110","NW_016094433.1",341773,341773,1,"-"
"111","NW_016094288.1",2418454,2418454,1,"-"
"112","NW_016094588.1",149535,149535,1,"-"
"113","NW_016094306.1",855940,855940,1,"+"
"114","NW_016094382.1",810121,810121,1,"-"
"115","NW_016094355.1",1129393,1129393,1,"+"
"116","NW_016094413.1",800699,800699,1,"-"
"117","NW_016094260.1",4556438,4556438,1,"+"
"118","NW_016094296.1",577668,577668,1,"+"
"119","NW_016094405.1",878492,878492,1,"-"
"120","NW_016094527.1",379536,379536,1,"-"
"121","NW_016096348.1",6988,6988,1,"+"
"122","NW_016094713.1",38134,38134,1,"+"
"123","NW_016094241.1",4527447,4527447,1,"+"
"124","NW_016094493.1",145769,145769,1,"+"
"125","NW_016094700.1",170234,170234,1,"+"
"126","NW_016094854.1",81226,81226,1,"-"
"127","NW_016094279.1",138965,138965,1,"+"
"128","NW_016094249.1",5457078,5457078,1,"-"
"129","NW_016094595.1",76713,76713,1,"-"
"130","NW_016094240.1",7883696,7883696,1,"+"
"131","NW_016094244.1",6562081,6562081,1,"-"
"132","NW_016096188.1",5524,5524,1,"-"
"133","NW_016094246.1",7097930,7097930,1,"+"
"134","NW_016094287.1",996975,996975,1,"+"
"135","NW_016094322.1",390391,390391,1,"+"
"136","NW_016095998.1",4164,4164,1,"-"
"137","NW_016094258.1",2737839,2737839,1,"-"
"138","NW_016094790.1",9593,9593,1,"-"
"139","NW_016094378.1",344681,344681,1,"+"
"140","NW_016094305.1",2394919,2394919,1,"+"
"141","NW_016094325.1",1451415,1451415,1,"+"
"142","NW_016094852.1",84289,84289,1,"+"
"143","NW_016094883.1",84454,84454,1,"+"
"144","NW_016094287.1",3084216,3084216,1,"-"
"145","NW_016094422.1",450563,450563,1,"-"
"146","NW_016094255.1",3043764,3043764,1,"-"
"147","NW_016094312.1",227771,227771,1,"+"
"148","NW_016094292.1",1062345,1062345,1,"-"
"149","NW_016094250.1",5189652,5189652,1,"+"
"150","NW_016094762.1",38870,38870,1,"+"
"151","NW_016094347.1",1156017,1156017,1,"+"
"152","NW_016094244.1",3916087,3916087,1,"+"
"153","NW_016094336.1",1283265,1283265,1,"+"
"154","NW_016094257.1",731323,731323,1,"+"
"155","NW_016094437.1",136151,136151,1,"-"
"156","NW_016094240.1",1911022,1911022,1,"+"
"157","NW_016094477.1",20051,20051,1,"-"
"158","NW_016096043.1",7263,7263,1,"+"
"159","NW_016094468.1",596296,596296,1,"+"
"160","NW_016094290.1",2074939,2074939,1,"-"
"161","NW_016096879.1",1037,1037,1,"+"
"162","NW_016094400.1",96381,96381,1,"-"
"163","NW_016094711.1",64030,64030,1,"+"
"164","NW_016094429.1",737452,737452,1,"+"
"165","NW_016094295.1",2842521,2842521,1,"+"
"166","NW_016094247.1",5209642,5209642,1,"+"
"167","NW_016094275.1",1031618,1031618,1,"+"
"168","NW_016094255.1",1981445,1981445,1,"-"
"169","NW_016094253.1",2310708,2310708,1,"+"
"170","NW_016094317.1",489285,489285,1,"-"
"171","NW_016094321.1",557148,557148,1,"+"
"172","NW_016094374.1",441748,441748,1,"-"
"173","NW_016094289.1",1631345,1631345,1,"-"
"174","NW_016094730.1",168656,168656,1,"-"
"175","NW_016094671.1",49213,49213,1,"+"
"176","NW_016094700.1",206919,206919,1,"+"
"177","NW_016094323.1",731013,731013,1,"+"
"178","NW_016094277.1",2778643,2778643,1,"+"
"179","NW_016095073.1",61942,61942,1,"+"
"180","NW_016094433.1",135745,135745,1,"-"
"181","NW_016094394.1",919236,919236,1,"+"
"182","NW_016094396.1",486903,486903,1,"+"
"183","NW_016094269.1",3110425,3110425,1,"-"
"184","NW_016094405.1",282375,282375,1,"+"
"185","NW_016094556.1",190131,190131,1,"-"
"186","NW_016094252.1",415186,415186,1,"-"
"187","NW_016094278.1",1035267,1035267,1,"+"
"188","NW_016094268.1",3448684,3448684,1,"+"
"189","NW_016094274.1",1495485,1495485,1,"+"
"190","NW_016094244.1",5993147,5993147,1,"+"
"191","NW_016094263.1",2852901,2852901,1,"+"
"192","NW_016094489.1",405438,405438,1,"+"
"193","NW_016094521.1",64498,64498,1,"-"
"194","NW_016094255.1",2155994,2155994,1,"+"
"195","NW_016094264.1",1575422,1575422,1,"-"
"196","NW_016094277.1",1935908,1935908,1,"+"
"197","NW_016094884.1",25754,25754,1,"-"
"198","NW_016094394.1",240720,240720,1,"+"
"199","NW_016094330.1",1036441,1036441,1,"-"
"200","NW_016094240.1",2774354,2774354,1,"-"
"201","NW_016096297.1",3448,3448,1,"+"
"202","NW_016094402.1",847000,847000,1,"+"
"203","NW_016094243.1",5330103,5330103,1,"-"
"204","NW_016094894.1",51070,51070,1,"+"
"205","NW_016094519.1",97502,97502,1,"+"
"206","NW_016094269.1",4047361,4047361,1,"-"
"207","NW_016094257.1",4276585,4276585,1,"-"
"208","NW_016094279.1",3116791,3116791,1,"+"
"209","NW_016094307.1",1835977,1835977,1,"+"
"210","NW_016094405.1",923566,923566,1,"-"
"211","NW_016094377.1",66519,66519,1,"-"
"212","NW_016094406.1",456528,456528,1,"+"
"213","NW_016094597.1",229707,229707,1,"+"
"214","NW_016094248.1",6754945,6754945,1,"+"
"215","NW_016094261.1",2003844,2003844,1,"+"
"216","NW_016094273.1",3472260,3472260,1,"-"
"217","NW_016094537.1",175287,175287,1,"+"
"218","NW_016094281.1",3343068,3343068,1,"-"
"219","NW_016094805.1",3138,3138,1,"-"
"220","NW_016094240.1",7495601,7495601,1,"+"
"221","NW_016094263.1",4172182,4172182,1,"-"
"222","NW_016094273.1",1261727,1261727,1,"-"
"223","NW_016094677.1",43979,43979,1,"-"
"224","NW_016094284.1",2306716,2306716,1,"-"
"225","NW_016094296.1",1505498,1505498,1,"+"
"226","NW_016094404.1",815109,815109,1,"-"
"227","NW_016094403.1",250491,250491,1,"+"
"228","NW_016094395.1",449755,449755,1,"+"
"229","NW_016094294.1",2456180,2456180,1,"-"
"230","NW_016094240.1",5342894,5342894,1,"-"
"231","NW_016094241.1",1389916,1389916,1,"+"
"232","NW_016094348.1",616807,616807,1,"-"
"233","NW_016094573.1",217287,217287,1,"-"
"234","NW_016094241.1",5700077,5700077,1,"+"
"235","NW_016094348.1",1102455,1102455,1,"+"
"236","NW_016094449.1",452211,452211,1,"-"
"237","NW_016094241.1",9534400,9534400,1,"-"
"238","NW_016094722.1",170589,170589,1,"-"
"239","NW_016094456.1",392675,392675,1,"+"
"240","NW_016094328.1",1469769,1469769,1,"-"
"241","NW_016095182.1",16640,16640,1,"-"
"242","NW_016094271.1",3437312,3437312,1,"-"
"243","NW_016094250.1",5380313,5380313,1,"-"
"244","NW_016096086.1",13211,13211,1,"+"
"245","NW_016094263.1",2617686,2617686,1,"-"
"246","NW_016094356.1",973396,973396,1,"-"
"247","NW_016094303.1",2273651,2273651,1,"+"
"248","NW_016094244.1",6877216,6877216,1,"-"
"249","NW_016094247.1",1063438,1063438,1,"+"
"250","NW_016094376.1",838537,838537,1,"+"
"251","NW_016094322.1",1896509,1896509,1,"+"
"252","NW_016094609.1",297884,297884,1,"-"
"253","NW_016094426.1",20468,20468,1,"-"
"254","NW_016094865.1",74299,74299,1,"-"
"255","NW_016094289.1",1630935,1630935,1,"+"
"256","NW_016094319.1",633749,633749,1,"+"
"257","NW_016094423.1",262457,262457,1,"-"
"258","NW_016094397.1",357079,357079,1,"+"
"259","NW_016094435.1",542032,542032,1,"-"
"260","NW_016094469.1",462553,462553,1,"-"
"261","NW_016094280.1",899767,899767,1,"+"
"262","NW_016094272.1",3318222,3318222,1,"-"
"263","NW_016094384.1",890919,890919,1,"+"
"264","NW_016095263.1",1930,1930,1,"-"
"265","NW_016094345.1",468986,468986,1,"+"
"266","NW_016094340.1",287891,287891,1,"+"
"267","NW_016094398.1",247883,247883,1,"-"
"268","NW_016094243.1",571458,571458,1,"-"
"269","NW_016094245.1",1703258,1703258,1,"-"
"270","NW_016094518.1",335082,335082,1,"+"
"271","NW_016094274.1",3731231,3731231,1,"+"
"272","NW_016094781.1",142494,142494,1,"+"
"273","NW_016094358.1",1128756,1128756,1,"-"
"274","NW_016094255.1",1227240,1227240,1,"-"
"275","NW_016094518.1",44411,44411,1,"-"
"276","NW_016094844.1",50412,50412,1,"-"
"277","NW_016094284.1",359409,359409,1,"+"
"278","NW_016094411.1",394293,394293,1,"-"
"279","NW_016094336.1",549335,549335,1,"-"
"280","NW_016094257.1",3257296,3257296,1,"+"
"281","NW_016094278.1",2362473,2362473,1,"-"
"282","NW_016094396.1",834727,834727,1,"+"
"283","NW_016094906.1",17148,17148,1,"+"
"284","NW_016094331.1",77836,77836,1,"+"
"285","NW_016095084.1",48917,48917,1,"-"
"286","NW_016094250.1",5154771,5154771,1,"-"
"287","NW_016094808.1",93649,93649,1,"-"
"288","NW_016095875.1",150,150,1,"-"
"289","NW_016094357.1",1242431,1242431,1,"+"
"290","NW_016094321.1",436678,436678,1,"+"
"291","NW_016094595.1",132886,132886,1,"+"
"292","NW_016094319.1",1409616,1409616,1,"+"
"293","NW_016094333.1",1940177,1940177,1,"+"
"294","NW_016094428.1",544965,544965,1,"-"
"295","NW_016094240.1",11053913,11053913,1,"-"
"296","NW_016094808.1",14063,14063,1,"-"
"297","NW_016094256.1",277434,277434,1,"-"
"298","NW_016094259.1",575125,575125,1,"+"
"299","NW_016094286.1",680242,680242,1,"+"
"300","NW_016094445.1",612878,612878,1,"-"
"301","NW_016094365.1",1143990,1143990,1,"-"
"302","NW_016094257.1",3257336,3257336,1,"+"
"303","NW_016094869.1",29105,29105,1,"+"
"304","NW_016094287.1",985969,985969,1,"-"
"305","NW_016094534.1",349423,349423,1,"-"
"306","NW_016094631.1",158621,158621,1,"+"
"307","NW_016094269.1",3051702,3051702,1,"-"
"308","NW_016094447.1",100976,100976,1,"-"
"309","NW_016094437.1",174534,174534,1,"+"
"310","NW_016094770.1",78839,78839,1,"+"
"311","NW_016094400.1",415100,415100,1,"-"
"312","NW_016094547.1",291418,291418,1,"+"
"313","NW_016094327.1",1207051,1207051,1,"+"
"314","NW_016094262.1",2017120,2017120,1,"-"
"315","NW_016094348.1",669553,669553,1,"+"
"316","NW_016094377.1",1005478,1005478,1,"-"
"317","NW_016094328.1",1839997,1839997,1,"-"
"318","NW_016097020.1",2466,2466,1,"-"
"319","NW_016094291.1",2719035,2719035,1,"+"
"320","NW_016096944.1",2656,2656,1,"-"
"321","NW_016094832.1",127270,127270,1,"+"
"322","NW_016095794.1",15988,15988,1,"-"
"323","NW_016094241.1",2017808,2017808,1,"-"
"324","NW_016094245.1",7262702,7262702,1,"-"
"325","NW_016094869.1",29106,29106,1,"-"
"326","NW_016094301.1",1164324,1164324,1,"+"
"327","NW_016094246.1",3994504,3994504,1,"+"
"328","NW_016094262.1",717048,717048,1,"-"
"329","NW_016094907.1",89731,89731,1,"+"
"330","NW_016094276.1",1093397,1093397,1,"+"
"331","NW_016094354.1",1387142,1387142,1,"+"
"332","NW_016094541.1",27198,27198,1,"+"
"333","NW_016094280.1",588019,588019,1,"+"
"334","NW_016094259.1",2407457,2407457,1,"+"
"335","NW_016094286.1",1580367,1580367,1,"+"
"336","NW_016094347.1",1250733,1250733,1,"-"
"337","NW_016095033.1",2828,2828,1,"+"
"338","NW_016094705.1",65331,65331,1,"-"
"339","NW_016094284.1",740496,740496,1,"+"
"340","NW_016094254.1",3052354,3052354,1,"-"
"341","NW_016095332.1",5011,5011,1,"-"
"342","NW_016094264.1",2428030,2428030,1,"+"
"343","NW_016094261.1",2458395,2458395,1,"+"
"344","NW_016094287.1",144577,144577,1,"-"
"345","NW_016095051.1",52493,52493,1,"-"
"346","NW_016094327.1",213786,213786,1,"+"
"347","NW_016094313.1",1410885,1410885,1,"-"
"348","NW_016094271.1",2027469,2027469,1,"-"
"349","NW_016094442.1",488178,488178,1,"+"
"350","NW_016094287.1",2438602,2438602,1,"-"
"351","NW_016094881.1",22536,22536,1,"-"
"352","NW_016094295.1",122328,122328,1,"-"
"353","NW_016094442.1",111901,111901,1,"-"
"354","NW_016094332.1",1038074,1038074,1,"+"
"355","NW_016094288.1",109042,109042,1,"-"
"356","NW_016094285.1",2786603,2786603,1,"+"
"357","NW_016094264.1",3376605,3376605,1,"-"
"358","NW_016094418.1",67590,67590,1,"+"
"359","NW_016094243.1",7656053,7656053,1,"-"
"360","NW_016094250.1",3636263,3636263,1,"-"
"361","NW_016094281.1",1351379,1351379,1,"-"
"362","NW_016094281.1",342803,342803,1,"-"
"363","NW_016094445.1",223236,223236,1,"+"
"364","NW_016094240.1",1531511,1531511,1,"-"
"365","NW_016094323.1",1116675,1116675,1,"+"
"366","NW_016094248.1",974664,974664,1,"-"
"367","NW_016094283.1",1386923,1386923,1,"+"
"368","NW_016094459.1",192429,192429,1,"+"
"369","NW_016096529.1",1017,1017,1,"-"
"370","NW_016094551.1",146076,146076,1,"+"
"371","NW_016094255.1",3991779,3991779,1,"-"
"372","NW_016094276.1",292946,292946,1,"+"
"373","NW_016094359.1",187705,187705,1,"-"
"374","NW_016094315.1",1929934,1929934,1,"-"
"375","NW_016094258.1",632532,632532,1,"+"
"376","NW_016094291.1",2851245,2851245,1,"+"
"377","NW_016094702.1",6676,6676,1,"-"
"378","NW_016094265.1",3569387,3569387,1,"+"
"379","NW_016094275.1",1568959,1568959,1,"+"
"380","NW_016094366.1",801220,801220,1,"+"
"381","NW_016094369.1",1079173,1079173,1,"+"
"382","NW_016094377.1",43668,43668,1,"-"
"383","NW_016094260.1",2243650,2243650,1,"+"
"384","NW_016094431.1",783724,783724,1,"+"
"385","NW_016094466.1",581631,581631,1,"+"
"386","NW_016094241.1",6473253,6473253,1,"-"
"387","NW_016094336.1",1552298,1552298,1,"+"
"388","NW_016094280.1",93609,93609,1,"-"
"389","NW_016094339.1",1699624,1699624,1,"+"
"390","NW_016094241.1",6460051,6460051,1,"+"
"391","NW_016094674.1",82616,82616,1,"-"
"392","NW_016094272.1",1793790,1793790,1,"-"
"393","NW_016094273.1",2914781,2914781,1,"-"
"394","NW_016094651.1",62196,62196,1,"+"
"395","NW_016094278.1",617365,617365,1,"+"
"396","NW_016094466.1",604859,604859,1,"+"
"397","NW_016094384.1",730745,730745,1,"-"
"398","NW_016094310.1",338161,338161,1,"-"
"399","NW_016094275.1",3499646,3499646,1,"-"
"400","NW_016094348.1",1166675,1166675,1,"-"
"401","NW_016094436.1",746912,746912,1,"-"
"402","NW_016094344.1",176641,176641,1,"-"
"403","NW_016094260.1",3528024,3528024,1,"+"
"404","NW_016094388.1",150074,150074,1,"-"
"405","NW_016094682.1",60711,60711,1,"-"
"406","NW_016094329.1",1938006,1938006,1,"-"
"407","NW_016094311.1",1556086,1556086,1,"+"
"408","NW_016094276.1",278291,278291,1,"+"
"409","NW_016094274.1",3098219,3098219,1,"+"
"410","NW_016095220.1",23122,23122,1,"-"
"411","NW_016094242.1",6521571,6521571,1,"-"
"412","NW_016094286.1",1552665,1552665,1,"+"
"413","NW_016094513.1",136944,136944,1,"-"
"414","NW_016094339.1",465591,465591,1,"+"
"415","NW_016094289.1",193077,193077,1,"+"
"416","NW_016094522.1",431506,431506,1,"-"
"417","NW_016094457.1",531011,531011,1,"-"
"418","NW_016094513.1",170271,170271,1,"+"
"419","NW_016094374.1",424526,424526,1,"-"
"420","NW_016094244.1",5047841,5047841,1,"-"
"421","NW_016094714.1",193423,193423,1,"+"
"422","NW_016094253.1",4323982,4323982,1,"-"
"423","NW_016096967.1",6883,6883,1,"-"
"424","NW_016094568.1",56918,56918,1,"+"
"425","NW_016094392.1",384361,384361,1,"-"
"426","NW_016094517.1",87410,87410,1,"-"
"427","NW_016094260.1",292488,292488,1,"+"
"428","NW_016094296.1",362835,362835,1,"+"
"429","NW_016094249.1",4097697,4097697,1,"-"
"430","NW_016094667.1",177268,177268,1,"-"
"431","NW_016094256.1",402862,402862,1,"+"
"432","NW_016094442.1",547791,547791,1,"-"
"433","NW_016096040.1",11575,11575,1,"-"
"434","NW_016094249.1",2650098,2650098,1,"+"
"435","NW_016094677.1",43632,43632,1,"+"
"436","NW_016094299.1",1847438,1847438,1,"-"
"437","NW_016094623.1",249215,249215,1,"-"
"438","NW_016094271.1",1230715,1230715,1,"+"
"439","NW_016094240.1",10637789,10637789,1,"+"
"440","NW_016094443.1",596565,596565,1,"+"
"441","NW_016094602.1",326204,326204,1,"+"
"442","NW_016094385.1",605742,605742,1,"+"
"443","NW_016094271.1",4082719,4082719,1,"+"
"444","NW_016094340.1",663351,663351,1,"-"
"445","NW_016094243.1",5252386,5252386,1,"-"
"446","NW_016094252.1",4985942,4985942,1,"-"
"447","NW_016094396.1",561397,561397,1,"-"
"448","NW_016094257.1",1001535,1001535,1,"-"
"449","NW_016094593.1",25316,25316,1,"-"
"450","NW_016094323.1",227762,227762,1,"+"
"451","NW_016094243.1",6461391,6461391,1,"+"
"452","NW_016094404.1",390156,390156,1,"-"
"453","NW_016094282.1",329000,329000,1,"+"
"454","NW_016095062.1",41567,41567,1,"-"
"455","NW_016094308.1",2013392,2013392,1,"-"
"456","NW_016095088.1",27852,27852,1,"-"
"457","NW_016094271.1",1253814,1253814,1,"+"
"458","NW_016094338.1",518283,518283,1,"+"
"459","NW_016094378.1",475365,475365,1,"-"
"460","NW_016094242.1",6689385,6689385,1,"-"
"461","NW_016094386.1",930282,930282,1,"-"
"462","NW_016094356.1",1321131,1321131,1,"+"
"463","NW_016094530.1",68150,68150,1,"+"
"464","NW_016094373.1",1023264,1023264,1,"-"
"465","NW_016094973.1",2742,2742,1,"+"
"466","NW_016094320.1",346019,346019,1,"-"
"467","NW_016094516.1",8948,8948,1,"+"
"468","NW_016094244.1",1462059,1462059,1,"-"
"469","NW_016094750.1",136908,136908,1,"+"
"470","NW_016094287.1",2685621,2685621,1,"-"
"471","NW_016094252.1",220988,220988,1,"+"
"472","NW_016094365.1",1090701,1090701,1,"+"
"473","NW_016094274.1",3375728,3375728,1,"-"
"474","NW_016094294.1",1568409,1568409,1,"+"
"475","NW_016094336.1",1101446,1101446,1,"+"
"476","NW_016094328.1",1184634,1184634,1,"+"
"477","NW_016094330.1",658389,658389,1,"+"
"478","NW_016094782.1",162020,162020,1,"+"
"479","NW_016094398.1",293500,293500,1,"+"
"480","NW_016094241.1",6447197,6447197,1,"-"
"481","NW_016094360.1",104929,104929,1,"+"
"482","NW_016094244.1",5999715,5999715,1,"+"
"483","NW_016094260.1",1270855,1270855,1,"-"
"484","NW_016094247.1",2828057,2828057,1,"-"
"485","NW_016095016.1",49098,49098,1,"-"
"486","NW_016094254.1",57249,57249,1,"+"
"487","NW_016094280.1",412686,412686,1,"+"
"488","NW_016094359.1",325827,325827,1,"-"
"489","NW_016094277.1",3223879,3223879,1,"+"
"490","NW_016094267.1",956342,956342,1,"+"
"491","NW_016094329.1",1938005,1938005,1,"+"
"492","NW_016094267.1",2259981,2259981,1,"-"
"493","NW_016094832.1",122416,122416,1,"-"
"494","NW_016094398.1",222882,222882,1,"-"
"495","NW_016094939.1",49618,49618,1,"+"
"496","NW_016094269.1",3548141,3548141,1,"-"
"497","NW_016094276.1",603546,603546,1,"-"
"498","NW_016094278.1",2151461,2151461,1,"-"
"499","NW_016094244.1",4503775,4503775,1,"-"
"500","NW_016094305.1",1252713,1252713,1,"+"
"501","NW_016094280.1",2032535,2032535,1,"-"
"502","NW_016094296.1",104163,104163,1,"+"
"503","NW_016094288.1",3077784,3077784,1,"-"
"504","NW_016094244.1",8697280,8697280,1,"+"
"505","NW_016094317.1",1205653,1205653,1,"+"
"506","NW_016094309.1",2160567,2160567,1,"-"
"507","NW_016094352.1",1338058,1338058,1,"-"
"508","NW_016094244.1",3316548,3316548,1,"-"
"509","NW_016094364.1",886815,886815,1,"+"
"510","NW_016094252.1",5400924,5400924,1,"+"
"511","NW_016094507.1",381384,381384,1,"-"
"512","NW_016094255.1",3662680,3662680,1,"+"
"513","NW_016094317.1",208502,208502,1,"-"
"514","NW_016094371.1",621082,621082,1,"-"
"515","NW_016094256.1",2727805,2727805,1,"+"
"516","NW_016094300.1",610399,610399,1,"-"
"517","NW_016094252.1",353615,353615,1,"-"
"518","NW_016094265.1",4469118,4469118,1,"-"
"519","NW_016094548.1",186593,186593,1,"-"
"520","NW_016095114.1",38283,38283,1,"+"
"521","NW_016094562.1",168126,168126,1,"+"
"522","NW_016094247.1",328571,328571,1,"-"
"523","NW_016094829.1",125935,125935,1,"-"
"524","NW_016094550.1",339602,339602,1,"+"
"525","NW_016094269.1",731068,731068,1,"-"
"526","NW_016094710.1",113749,113749,1,"+"
"527","NW_016094269.1",896750,896750,1,"-"
"528","NW_016094477.1",377042,377042,1,"-"
"529","NW_016094397.1",23905,23905,1,"-"
"530","NW_016094356.1",1306909,1306909,1,"-"
"531","NW_016095956.1",14347,14347,1,"+"
"532","NW_016094244.1",1417881,1417881,1,"+"
"533","NW_016094614.1",74950,74950,1,"-"
"534","NW_016096666.1",5879,5879,1,"+"
"535","NW_016094242.1",966159,966159,1,"+"
"536","NW_016094269.1",1073094,1073094,1,"-"
"537","NW_016094828.1",123731,123731,1,"+"
"538","NW_016094247.1",2500589,2500589,1,"+"
"539","NW_016094295.1",2842522,2842522,1,"-"
"540","NW_016094279.1",2445895,2445895,1,"-"
"541","NW_016094449.1",452210,452210,1,"+"
"542","NW_016094287.1",985553,985553,1,"+"
"543","NW_016094331.1",119021,119021,1,"-"
"544","NW_016094240.1",5421611,5421611,1,"+"
"545","NW_016094244.1",8732227,8732227,1,"-"
"546","NW_016094620.1",142563,142563,1,"+"
"547","NW_016094361.1",643465,643465,1,"+"
"548","NW_016094254.1",4160069,4160069,1,"+"
"549","NW_016094247.1",5061159,5061159,1,"-"
"550","NW_016094342.1",1145252,1145252,1,"-"
"551","NW_016094272.1",1097805,1097805,1,"+"
"552","NW_016094328.1",927942,927942,1,"-"
"553","NW_016094359.1",907300,907300,1,"+"
"554","NW_016095366.1",15345,15345,1,"-"
"555","NW_016094584.1",39755,39755,1,"-"
"556","NW_016094242.1",3517556,3517556,1,"+"
"557","NW_016094244.1",5856112,5856112,1,"-"
"558","NW_016094256.1",4018751,4018751,1,"+"
"559","NW_016094253.1",1580315,1580315,1,"-"
"560","NW_016094249.1",3217051,3217051,1,"+"
"561","NW_016094349.1",16378,16378,1,"-"
"562","NW_016094377.1",127619,127619,1,"+"
