EntrezGeneID	Position	Hyb_RJ4_09_Koce.bam	Hyb_RJ4_17_Koce.bam	Hyb_RJ5_08_Koce.bam	Hyb_RJ5_11_Koce.bam	Hyb_RJ5_43_Koce.bam	Hyb_RJ5_47_Koce.bam	Hyb_RJ5Kher_26_Kher.bam	Kher_RJ4Kher_27_Kher.bam	Kher_RJ4Kher_28_Kher.bam	Kher_RJ4Kher_29_Kher.bam	Kher_RJ4Kher_30_Kher.bam	Kher_RJ4Kher_31_Kher.bam	Kher_RJ4Kher_37_Kher.bam	Kher_RJ4Kher_39_Kher.bam	Kher_RJ4Kher_40_Kher.bam	Kher_RJ4Kher_41_Kher.bam	Kher_RJ4Kher_42_Kher.bam	Kher_RJ4Kher_43_Kher.bam	Kher_RJ4Kher_44_Kher.bam	Kher_RJ5Kher_20_Kher.bam	Kher_RJ5Kher_21_Kher.bam	Kher_RJ5Kher_22_Kher.bam	Kher_RJ5Kher_24_Kher.bam	Kher_RJ5Kher_25_Kher.bam	Kher_RJ5Kher_29_Kher.bam	Kher_RJ5Kher_30_Kher.bam	Kher_RJ5Kher_31_Kher.bam	Kher_RJ5Kher_32_Kher.bam	Koce_RJ4_04_Koce.bam	Koce_RJ4_05_Koce.bam	Koce_RJ4_06_Koce.bam	Koce_RJ4_10_Koce.bam	Koce_RJ4_11_Koce.bam	Koce_RJ4_13_Koce.bam	Koce_RJ4_16_Koce.bam	Koce_RJ4_18_Koce.bam	Koce_RJ4_19_Koce.bam	Koce_RJ5_06_Koce.bam	Koce_RJ5_10_Koce.bam
NW_016094240.1	1531512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	1556585	138	59	158	123	2	16	20	144	69	297	152	100	62	53	248	98	24	109	124	156	67	123	57	78	87	44	129	42	85	128	68	167	33	209	205	113	115	93	131
NW_016094240.1	1787587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	1808974	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	3	0	4	9	0	0	0	2	0	0	0	0	0
NW_016094240.1	1911023	36	63	84	79	6	10	16	5	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	106	179	121	175	36	211	233	131	118	117	101
NW_016094240.1	1976351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	2032778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	2174968	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	2544189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	2881296	1	0	0	0	0	0	0	0	0	4	4	2	3	1	4	1	0	5	0	0	0	3	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0
NW_016094240.1	2892785	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	3030794	10	6	44	37	1	1	8	66	38	119	84	79	8	22	108	44	14	37	47	62	51	42	30	30	48	24	80	21	0	0	3	3	0	0	6	0	1	1	1
NW_016094240.1	3219665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	3246101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	3298809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	1	2	0	0
NW_016094240.1	3307819	0	0	1	0	0	1	0	4	2	5	0	3	0	0	4	2	1	3	1	3	2	1	0	2	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	3357463	5	0	2	4	0	0	0	1	0	13	10	5	0	0	14	5	1	7	8	3	6	11	4	6	7	3	12	6	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	3655284	49	15	50	51	4	6	4	106	47	215	89	134	59	60	200	55	37	104	68	123	57	60	38	44	121	35	139	26	0	0	1	5	0	4	18	0	0	2	6
NW_016094240.1	3838921	133	50	434	316	25	23	80	609	350	908	492	599	194	260	866	524	147	464	576	721	340	397	253	372	585	167	630	138	17	27	8	13	2	40	66	12	3	2	30
NW_016094240.1	3839176	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	3949621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
NW_016094240.1	3949752	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	4342084	20	13	23	27	0	1	0	9	2	13	8	3	2	1	10	2	0	5	6	2	2	1	1	1	4	2	4	1	35	54	34	59	11	48	75	42	49	13	35
NW_016094240.1	4757173	379	69	478	414	61	23	75	1070	625	1592	808	679	327	382	1521	611	280	976	1008	1102	537	547	376	417	836	330	1116	237	0	9	15	4	0	11	85	0	0	0	20
NW_016094240.1	4785434	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
NW_016094240.1	4866026	338	76	287	277	23	33	82	678	350	908	471	476	257	246	1101	362	173	600	587	465	228	301	280	368	574	204	746	149	18	44	38	84	13	118	159	51	50	33	78
NW_016094240.1	5007298	23	5	147	88	13	7	11	177	100	280	95	93	31	88	153	55	52	118	151	130	88	131	28	96	106	96	127	33	1	38	12	28	10	15	18	11	7	10	30
NW_016094240.1	5075944	343	54	317	279	14	24	51	706	282	879	582	485	241	275	1085	388	121	621	558	651	342	412	277	309	497	167	749	147	0	5	6	4	0	13	66	5	0	0	23
NW_016094240.1	5198204	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	5281772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	5553468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	5786009	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NW_016094240.1	5815902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	5824137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	5896722	61	97	130	146	17	4	7	11	1	19	11	6	5	11	15	7	4	12	6	8	2	4	2	3	10	4	2	1	139	308	205	302	69	322	301	206	274	167	167
NW_016094240.1	5992639	17	9	47	55	4	4	2	89	51	151	82	85	24	33	132	67	19	41	87	110	62	71	44	72	87	36	134	26	1	0	1	5	0	1	7	0	0	1	4
NW_016094240.1	6035870	66	16	56	45	5	4	11	178	65	180	123	101	70	52	200	70	25	93	90	80	60	87	52	61	109	38	127	27	0	1	4	2	0	2	11	4	0	0	9
NW_016094240.1	6282226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	6743962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	6768791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	6879719	75	96	141	119	7	14	5	6	0	5	0	0	1	3	0	0	0	4	2	0	0	0	0	1	0	0	0	0	140	341	201	354	92	309	400	275	261	107	153
NW_016094240.1	6906442	87	10	73	38	6	4	14	195	57	202	114	96	61	79	299	87	27	103	128	139	78	112	64	63	117	34	148	39	0	1	1	4	0	11	19	6	4	2	3
NW_016094240.1	6994949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	7053731	103	30	225	215	14	8	28	345	155	516	272	338	92	132	570	216	65	277	316	371	184	268	273	186	317	120	458	92	0	0	0	12	0	9	31	4	0	0	11
NW_016094240.1	7137347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	7157972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	7488157	35	8	52	34	7	1	10	122	41	187	53	103	44	56	141	66	21	96	73	72	37	51	48	47	66	23	90	18	1	1	0	2	0	3	8	1	0	0	2
NW_016094240.1	7495602	40	64	76	55	1	7	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	167	116	188	20	172	200	162	135	62	132
NW_016094240.1	7538067	27	8	32	20	1	2	5	53	37	103	76	57	34	16	112	36	19	59	47	63	23	54	29	25	41	15	73	9	1	0	2	3	0	6	5	0	0	0	4
NW_016094240.1	7603850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	7883697	34	33	60	58	4	3	2	2	2	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	58	155	77	128	22	125	199	113	86	92	85
NW_016094240.1	7972185	0	18	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	8012336	158	353	473	428	11	18	14	20	0	6	0	0	0	11	0	0	0	4	4	0	0	0	0	0	0	0	0	0	534	1331	742	1155	220	907	1281	676	890	637	687
NW_016094240.1	8041517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	8225721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	8336252	112	57	198	96	11	1	1	6	15	4	0	0	0	3	0	0	0	3	2	0	2	0	0	0	0	0	0	0	109	505	242	307	63	343	255	281	231	196	258
NW_016094240.1	8630477	8	2	35	18	5	0	2	59	14	69	41	65	33	10	94	5	22	34	20	79	20	50	37	34	38	27	49	11	0	0	0	0	0	0	12	0	0	0	6
NW_016094240.1	8783462	20	27	48	38	5	0	11	98	69	178	90	114	73	53	203	78	26	71	95	138	58	74	23	34	80	50	77	29	3	0	0	1	0	4	15	0	0	0	0
NW_016094240.1	8820057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	9111689	32	15	73	51	1	3	18	133	36	140	34	65	32	36	120	69	14	88	70	58	57	59	19	59	61	27	97	13	24	70	39	62	5	53	65	41	31	10	31
NW_016094240.1	9176370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	9253256	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	2
NW_016094240.1	9353227	39	62	60	48	0	1	7	125	47	219	91	183	29	52	185	68	36	118	160	109	86	125	47	57	101	26	184	23	1	0	1	4	0	2	26	2	4	1	2
NW_016094240.1	9419123	225	87	795	665	34	9	149	1068	688	1888	925	1174	311	497	1564	832	285	960	1265	1609	609	714	460	651	1055	312	1249	321	0	0	17	20	0	25	97	6	1	4	77
NW_016094240.1	9419124	27	22	104	84	7	2	17	147	84	249	137	175	42	62	207	150	42	142	181	195	96	88	72	101	141	49	177	36	0	0	1	0	0	1	19	2	1	0	10
NW_016094240.1	9451411	418	513	813	717	36	48	52	471	186	873	322	434	127	182	647	334	109	340	398	462	253	258	175	242	398	110	448	102	682	1449	868	1655	226	1450	1681	765	1075	602	833
NW_016094240.1	9882720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	10006126	522	311	449	386	11	32	42	29	0	15	0	0	0	9	4	0	0	7	16	1	0	0	0	0	0	0	11	0	612	964	782	1278	297	1268	1830	774	886	688	791
NW_016094240.1	10016205	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	14	0	0	0
NW_016094240.1	10145437	109	69	176	221	22	13	17	33	45	79	40	51	30	36	173	40	14	33	85	150	30	37	72	24	60	63	112	69	155	502	163	362	56	291	371	184	278	235	400
NW_016094240.1	10171110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	10217922	30	10	59	35	6	1	6	79	51	211	67	64	16	46	106	83	42	105	59	101	40	38	31	65	77	27	97	35	0	1	1	2	0	0	6	0	0	0	7
NW_016094240.1	10271040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	10637790	60	54	91	64	3	6	8	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	2	0	71	171	115	176	28	129	194	98	111	91	106
NW_016094240.1	10837179	16	8	19	8	0	0	2	21	6	18	20	9	8	6	9	15	2	21	2	15	2	5	4	10	9	2	13	6	0	28	6	12	1	19	16	8	9	5	1
NW_016094240.1	10910773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	10933509	1756	1071	1890	1438	85	80	48	106	0	23	5	1	4	49	8	5	3	19	30	0	0	1	0	3	0	0	1	0	2040	5574	2989	5008	763	6447	4572	2415	3665	1272	1940
NW_016094240.1	10937001	56	36	50	25	2	2	13	6	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	5	0	66	144	71	108	28	147	116	59	79	63	66
NW_016094240.1	11077558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NW_016094240.1	11304586	314	77	476	207	10	5	21	472	238	596	183	272	49	163	453	144	93	305	349	349	260	260	222	214	219	157	432	93	182	446	346	456	55	353	535	162	290	172	226
NW_016094240.1	11405987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	11424707	276	210	278	277	18	5	10	13	0	5	2	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	393	840	501	852	145	824	1064	333	279	433	387
NW_016094240.1	11560504	164	271	430	332	23	27	14	52	9	74	42	39	7	23	51	24	10	25	38	32	15	17	20	11	25	17	37	11	412	924	554	812	137	763	789	500	600	466	543
NW_016094240.1	11617448	23	20	37	23	1	3	20	2	3	6	3	1	0	1	4	2	0	13	2	0	2	0	2	0	0	0	1	2	40	60	41	77	13	60	59	52	47	40	33
NW_016094240.1	11635662	86	103	108	136	6	8	1	15	0	3	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	130	238	151	461	77	378	411	179	292	97	158
NW_016094241.1	173751	29	18	27	23	5	4	3	79	42	176	89	66	14	41	150	48	19	65	82	72	33	85	27	53	75	44	99	24	0	1	0	0	0	1	7	2	0	0	5
NW_016094241.1	307666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094241.1	509207	25	5	18	11	2	3	1	14	2	48	2	8	4	5	19	3	3	16	0	11	1	10	0	4	14	2	24	7	141	13	10	57	10	49	34	14	39	14	24
NW_016094241.1	525717	78	54	188	132	6	6	26	265	130	320	187	209	81	108	268	173	69	211	181	264	113	137	88	118	230	93	289	56	39	114	35	59	11	60	79	50	32	29	32
NW_016094241.1	592671	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094241.1	629170	77	129	149	135	11	2	13	16	0	6	3	0	0	1	5	0	0	0	9	0	0	0	0	0	0	0	0	0	150	301	162	358	37	361	406	250	209	136	221
NW_016094241.1	731815	71	33	60	99	6	9	14	164	89	316	142	137	51	57	236	91	31	92	149	174	96	94	54	67	102	31	198	54	19	52	12	20	3	26	77	22	25	21	33
NW_016094241.1	738827	39	16	88	64	2	7	16	216	92	241	124	160	65	77	289	139	44	165	161	157	95	96	57	76	170	67	199	51	1	1	1	2	0	6	15	4	1	0	5
NW_016094241.1	753731	141	39	194	112	10	5	34	397	155	433	259	263	145	152	490	177	79	303	286	311	222	264	99	173	257	92	380	73	2	1	0	11	0	6	23	3	2	0	11
NW_016094241.1	758525	47	11	63	36	2	3	10	105	48	142	89	64	46	40	140	68	19	71	58	114	40	74	45	52	83	28	101	22	0	2	4	2	0	2	3	0	0	1	4
NW_016094241.1	933650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
NW_016094241.1	1103992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094241.1	1204410	229	109	534	497	37	8	39	623	464	1998	520	786	222	439	1023	501	194	669	817	614	338	327	387	544	773	285	693	180	0	0	0	14	0	34	95	0	0	1	56
NW_016094241.1	1222274	46	13	60	39	3	0	9	118	41	203	69	91	40	44	101	94	44	99	71	89	40	59	48	55	93	27	100	27	0	0	1	4	0	1	14	1	0	0	8
NW_016094241.1	1413277	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094241.1	1638321	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094241.1	1638435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094241.1	1708477	221	35	229	426	0	7	35	703	205	977	379	376	193	152	441	230	101	541	563	405	266	252	257	213	578	232	629	97	0	2	18	19	0	13	60	0	0	0	0
NW_016094241.1	1758211	611	159	955	751	28	27	138	1439	624	2074	983	1062	434	547	2020	607	305	1182	1199	1254	725	872	492	762	1230	460	1656	379	79	146	148	263	58	333	407	211	179	90	306
NW_016094241.1	2174535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094241.1	2364414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094241.1	2375498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094241.1	2548505	36	14	46	46	3	1	8	143	46	189	81	85	33	42	163	82	25	102	84	84	46	52	43	48	85	28	109	23	0	1	1	5	0	3	10	1	0	0	4
NW_016094241.1	2932189	123	30	132	121	13	5	29	281	95	541	244	249	75	106	511	128	53	180	261	331	176	219	113	119	203	62	314	40	2	1	4	9	1	3	18	3	1	0	13
NW_016094241.1	3234460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094241.1	3234572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094241.1	3240662	182	48	173	188	21	17	41	452	234	741	291	273	208	170	624	234	91	429	311	316	221	187	225	190	354	119	496	136	0	1	9	11	0	6	65	0	0	5	20
NW_016094241.1	3340450	161	47	140	123	13	6	32	332	148	397	207	209	101	100	480	182	63	218	264	286	132	149	84	178	200	86	277	74	50	115	9	77	12	58	85	54	67	2	23
NW_016094241.1	3341783	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	1	0	0	0
NW_016094241.1	3376972	0	0	2	0	0	0	0	0	1	0	0	2	0	0	1	1	0	1	1	0	1	0	2	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0
NW_016094241.1	3409307	21	6	33	22	2	2	3	61	21	70	32	26	29	24	110	25	17	60	44	48	20	41	22	17	44	22	56	8	0	10	2	6	1	6	3	1	2	4	4
NW_016094241.1	3409322	2	2	7	4	0	1	0	8	1	2	1	3	2	2	8	3	1	4	2	3	2	1	3	0	1	3	2	1	0	10	2	6	1	4	1	1	2	4	2
NW_016094241.1	3459964	0	0	0	0	0	0	13	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094241.1	3591883	96	36	178	148	7	7	23	346	103	526	306	279	98	110	497	193	67	257	290	295	203	208	149	174	270	110	404	69	1	20	6	4	2	7	33	8	0	0	14
NW_016094241.1	3683744	586	89	800	673	67	36	107	1263	762	1658	873	852	553	557	2049	880	275	1218	1264	1021	695	856	618	684	1131	412	1411	356	2	7	32	21	3	46	136	33	1	1	38
NW_016094241.1	3683974	311	124	310	263	13	1	45	392	122	361	219	225	133	104	490	204	59	270	261	261	152	239	105	126	206	61	304	45	146	359	194	333	66	360	362	161	220	175	170
NW_016094241.1	3698426	140	81	106	98	4	3	1	2	0	1	0	0	0	4	1	0	0	0	2	0	0	0	0	0	0	0	0	0	200	482	227	565	97	391	577	189	203	148	90
